Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
AUSE,ETF,0.58%,$1.05,4.30%,$55.00 ,1," 5,238 ", (1.62),,,,,,,,,,,,,
BDCS,ETN,0.85%,$0.47,7.00%,$54.70 ,2," 16,631 ", 1.12 ,,,,,,,,,,,,,
DNH,ETF,0.58%,$0.61,3.62%,$54.20 ,0.9,, -   ,,,,,,,,,,,,,
AGOL,Grantor Trust,0.39%,,,$54.00 ,0.5, 461 , (2.53),,,,,,,,,,,,,
CZM,ETF,0.95%,$0.01,0.37%,$54.00 ,1.4,, -   ,,,,,,,,,,,,,
FPE,ETF,0.85%,$0.12,4.70%,$53.80 ,3," 41,338 ", 0.53 ,,,,,,,,,,,,,
YAO,ETF,0.70%,$0.56,2.09%,$53.60 ,2," 16,172 ", 2.15 ,,,,,,,,,,,,,
CARZ,ETF,0.70%,$0.07,0.74%,$52.90 ,1.4," 23,322 ", 1.29 ,,,,,,,,,,,,,
IPU,ETF,0.50%,$0.14,4.76%,$52.70 ,3," 17,314 ", 1.42 ,,,,,,,,,,,,,
BRXX,ETF,0.85%,$0.82,4.85%,$52.60 ,3.1," 19,869 ", (2.06),,,,,,,,,,,,,
ADRD,UIT,0.30%,$0.36,2.89%,$52.30 ,2.1," 5,031 ", 1.30 ,,,,,,,,,,,,,
RTM,ETF,0.50%,$0.31,1.89%,$51.80 ,0.7," 7,231 ", 1.23 ,,,,,,,,,,,,,
FAD,ETF,0.70%,$0.03,0.74%,$51.60 ,1.2," 9,020 ", 1.35 ,,,,,,,,,,,,,
IMLP,ETN,0.80%,$0.34,3.46%,$51.60 ,1.8," 5,754 ", 1.19 ,,,,,,,,,,,,,
QDEF,ETF,0.37%,$0.19,1.30%,$51.60 ,1.6," 15,977 ", 0.92 ,,,,,,,,,,,,,
SJB,ETF,0.95%,,,$51.60 ,1.8," 23,923 ", (0.57),,,,,,,,,,,,,
TIPZ,ETF,0.20%,$0.04,0.96%,$51.20 ,0.9," 4,481 ", (0.58),,,,,,,,,,,,,
MDD,ETF,0.45%,$0.21,2.56%,$51.10 ,1.6," 9,061 ", (2.16),,,,,,,,,,,,,
JGBD,ETN,0.95%,,,$50.70 ,2.9," 57,203 ", 0.70 ,,,,,,,,,,,,,
FEMS,ETF,0.80%,$0.15,2.23%,$50.60 ,1.5," 14,489 ", 1.60 ,,,,,,,,,,,,,
RYU,ETF,0.50%,$0.60,4.62%,$50.50 ,0.8," 3,487 ", (0.99),,,,,,,,,,,,,
PAF,ETF,0.49%,$0.65,4.74%,$50.00 ,0.9," 11,145 ", (1.40),,,,,,,,,,,,,
LIT,ETF,0.75%,$0.35,2.68%,$49.90 ,3.9," 26,284 ", (1.58),,,,,,,,,,,,,
UTH,Grantor Trust,,$0.02,3.28%,$49.70 ,0.4," 22,647 ", 0.68 ,,,,,,,,,,,,,
QABA,ETF,0.60%,$0.13,1.01%,$49.10 ,1.4," 10,303 ", 1.78 ,,,,,,,,,,,,,
CHIX,ETF,0.65%,$0.37,2.82%,$49.00 ,3.7," 64,934 ", 2.66 ,,,,,,,,,,,,,
PSCE,ETF,0.29%,$0.00,0.54%,$49.00 ,1.1," 21,177 ", (2.10),,,,,,,,,,,,,
EEV,ETF,0.95%,$3.71,,$48.90 ,2.4," 201,455 ", (3.72),,,,,,,,,,,,,
RAVI,ETF,0.25%,$0.06,0.46%,$48.90 ,0.7," 9,944 ", 0.03 ,,,,,,,,,,,,,
EGPT,ETF,0.94%,$1.04,1.89%,$48.30 ,0.9," 15,616 ", (2.19),,,,,,,,,,,,,
RYE,ETF,0.50%,$0.23,1.29%,$48.30 ,0.6," 4,256 ", 1.34 ,,,,,,,,,,,,,
CORN,Commodity Pool,1.00%,,,$48.10 ,1.6," 48,847 ", (1.65),,,,,,,,,,,,,
VIOV,ETF,0.24%,$0.87,1.86%,$47.70 ,0.5," 6,645 ", 1.25 ,,,,,,,,,,,,,
RJZ,ETN,0.75%,,,$47.50 ,5.4," 13,779 ", (1.25),,,,,,,,,,,,,
ENY,ETF,0.70%,$0.10,3.04%,$47.20 ,3.2," 16,920 ", (1.04),,,,,,,,,,,,,
FNDX,ETF,0.32%,$0.11,0.46%,$46.10 ,1.7," 29,438 ", 0.98 ,,,,,,,,,,,,,
VIOG,ETF,0.20%,$0.53,1.32%,$45.80 ,0.5," 8,719 ", 1.37 ,,,,,,,,,,,,,
KBWR,ETF,0.35%,$0.25,1.99%,$45.70 ,1.2," 15,253 ", 1.70 ,,,,,,,,,,,,,
DGLD,ETN,1.35%,,,$45.60 ,0.6," 66,364 ", 5.52 ,,,,,,,,,,,,,
WMCR,ETF,0.50%,$0.21,0.76%,$45.60 ,1.7," 9,927 ", 1.68 ,,,,,,,,,,,,,
COW,ETN,0.75%,,,$45.50 ,1.7," 13,792 ", (0.74),,,,,,,,,,,,,
ICLN,ETF,0.48%,$0.12,2.17%,$45.50 ,4.5," 28,377 ", (1.94),,,,,,,,,,,,,
TRNM,ETN,1.00%,,,$44.80 ,1.4," 22,452 ", 1.20 ,,,,,,,,,,,,,
EET,ETF,0.95%,$0.03,0.06%,$44.60 ,0.6," 12,322 ", (3.78),,,,,,,,,,,,,
GTAA,ETF,1.41%,$0.56,2.25%,$44.60 ,1.8," 12,817 ", 0.68 ,,,,,,,,,,,,,
BABS,ETF,0.35%,$0.22,4.73%,$43.80 ,0.8," 5,817 ", 0.94 ,,,,,,,,,,,,,
FHLC,ETF,0.12%,$0.05,0.17%,$43.70 ,1.7,, 1.24 ,,,,,,,,,,,,,
FGM,ETF,0.80%,$0.65,1.59%,$43.60 ,1.1," 13,395 ", 1.15 ,,,,,,,,,,,,,
IFSM,ETF,0.50%,$0.58,2.58%,$43.50 ,1," 4,716 ", 1.25 ,,,,,,,,,,,,,
VEGI,ETF,0.39%,$0.18,1.36%,$43.40 ,1.6," 7,723 ", 1.06 ,,,,,,,,,,,,,
AGLS,ETF,1.50%,,,$43.20 ,2," 14,375 ", 1.11 ,,,,,,,,,,,,,
TZG,ETF,0.32%,$0.14,2.03%,$43.10 ,1.1," 15,823 ", 0.69 ,,,,,,,,,,,,,
EFZ,ETF,0.95%,$16.25,,$42.70 ,1.3," 27,942 ", (1.13),,,,,,,,,,,,,
ALT,Commodity Pool,1.02%,,,$42.60 ,0.8," 23,189 ", 0.52 ,,,,,,,,,,,,,
RJA,ETN,0.75%,,,$42.40 ,5.3," 230,509 ", 0.59 ,,,,,,,,,,,,,
PMR,ETF,0.60%,$0.05,2.10%,$41.50 ,1.2," 12,919 ", (1.42),,,,,,,,,,,,,
NIB,ETN,0.75%,,,$41.40 ,1.2," 18,069 ", (1.97),,,,,,,,,,,,,
RING,ETF,0.39%,$0.05,1.49%,$41.10 ,4.6," 88,414 ", (3.17),,,,,,,,,,,,,
IBCE,ETF,0.10%,$0.22,1.63%,$41.00 ,0.5," 1,087 ", (0.70),,,,,,,,,,,,,
ROOF,ETF,0.69%,$0.59,5.87%,$40.90 ,1.7," 13,900 ", (1.53),,,,,,,,,,,,,
FNY,ETF,0.70%,$0.07,1.31%,$40.30 ,1.5," 12,447 ", 1.42 ,,,,,,,,,,,,,
XPP,ETF,0.95%,,,$40.20 ,0.7," 44,158 ", 4.98 ,,,,,,,,,,,,,
PSL,ETF,0.60%,$0.19,2.08%,$39.70 ,0.9," 14,264 ", 1.16 ,,,,,,,,,,,,,
JGBS,ETN,0.50%,,,$39.50 ,2.1," 40,795 ", 0.50 ,,,,,,,,,,,,,
AUNZ,ETF,0.45%,$0.05,2.88%,$38.90 ,2," 16,487 ", (1.00),,,,,,,,,,,,,
TZV,ETF,0.29%,$0.14,1.99%,$38.90 ,0.9," 12,982 ", 0.94 ,,,,,,,,,,,,,
FNDF,ETF,0.32%,$0.14,0.49%,$38.50 ,1.4," 27,709 ", 1.22 ,,,,,,,,,,,,,
ELR,ETF,0.20%,$0.29,1.43%,$38.30 ,0.5," 1,586 ", (1.08),,,,,,,,,,,,,
GAZ,ETN,0.75%,,,$38.10 ,14.4," 79,558 ", 3.50 ,,,,,,,,,,,,,
MUAB,ETF,0.30%,$0.03,0.50%,$37.90 ,0.8," 8,405 ", 0.44 ,,,,,,,,,,,,,
IPS,ETF,0.50%,$0.10,2.35%,$37.80 ,1," 3,450 ", 1.07 ,,,,,,,,,,,,,
CROP,ETF,0.75%,$0.36,1.31%,$36.90 ,1.4," 2,802 ", (1.14),,,,,,,,,,,,,
UMDD,ETF,0.95%,$0.03,0.14%,$36.90 ,0.4," 16,514 ", 3.53 ,,,,,,,,,,,,,
ASEA,ETF,0.65%,$0.38,2.44%,$36.80 ,2.4," 23,172 ", (1.46),,,,,,,,,,,,,
ROBO,ETF,0.95%,,,$36.20 ,1.4,, 1.28 ,,,,,,,,,,,,,
INDL,ETF,0.95%,$0.01,0.02%,$36.00 ,0.7," 25,166 ", 8.11 ,,,,,,,,,,,,,
TLO,ETF,0.13%,$0.15,2.97%,$35.90 ,0.6," 12,358 ", (1.16),,,,,,,,,,,,,
XSLV,ETF,0.25%,$0.25,1.58%,$35.80 ,1.2," 11,970 ", 1.25 ,,,,,,,,,,,,,
HDG,ETF,0.95%,$0.05,0.13%,$35.40 ,0.9," 6,737 ", 0.46 ,,,,,,,,,,,,,
FNDB,ETF,0.32%,$0.10,0.49%,$35.30 ,1.3," 34,083 ", 1.04 ,,,,,,,,,,,,,
FNDA,ETF,0.32%,$0.07,0.33%,$34.80 ,1.3," 25,075 ", 1.21 ,,,,,,,,,,,,,
IBCB,ETF,0.10%,$0.06,0.37%,$34.80 ,0.4," 2,235 ", (0.18),,,,,,,,,,,,,
PFIG,ETF,0.22%,$0.05,2.13%,$34.80 ,1.4," 26,208 ", (0.45),,,,,,,,,,,,,
MWJ,ETF,0.95%,$1.37,0.48%,$34.60 ,1.2," 139,720 ", 3.74 ,,,,,,,,,,,,,
RTH,ETF,0.35%,$0.61,1.00%,$34.60 ,0.6," 34,467 ", 1.13 ,,,,,,,,,,,,,
XAR,ETF,0.35%,$0.67,1.94%,$34.60 ,0.4," 3,513 ", 1.24 ,,,,,,,,,,,,,
EPV,ETF,0.95%,,,$34.50 ,2.2," 29,742 ", (2.43),,,,,,,,,,,,,
PRB,ETF,0.24%,$0.02,1.26%,$34.50 ,1.4," 7,352 ", (0.39),,,,,,,,,,,,,
REK,ETF,0.95%,,,$34.50 ,1.3," 17,780 ", 1.33 ,,,,,,,,,,,,,
RBL,ETF,0.59%,$0.24,5.34%,$34.40 ,1.3," 32,552 ", (1.65),,,,,,,,,,,,,
TZI,ETF,0.32%,$0.14,2.05%,$34.40 ,0.9," 10,559 ", 0.80 ,,,,,,,,,,,,,
YMLI,ETF,0.82%,$0.33,6.32%,$34.40 ,1.7," 9,592 ", 0.81 ,,,,,,,,,,,,,
BSCB,ETF,0.24%,$0.00,0.30%,$34.20 ,1.7," 4,547 ", (0.12),,,,,,,,,,,,,
FIDU,ETF,0.12%,$0.07,0.27%,$34.10 ,1.3,, 1.13 ,,,,,,,,,,,,,
MCRO,ETF,0.75%,$0.48,1.84%,$34.10 ,1.3," 4,683 ", (0.56),,,,,,,,,,,,,
ALFA,ETF,0.95%,$0.01,0.03%,$33.70 ,0.9," 17,302 ", 1.79 ,,,,,,,,,,,,,
TDV,ETF,0.65%,$0.40,1.43%,$33.70 ,1.2," 2,825 ", 2.81 ,,,,,,,,,,,,,
IELG,ETF,0.18%,$0.15,1.00%,$33.50 ,1.2," 8,044 ", 1.03 ,,,,,,,,,,,,,
DBS,Commodity Pool,0.79%,$0.87,,$33.40 ,1," 7,866 ", (3.08),,,,,,,,,,,,,
PSCU,ETF,0.29%,$0.41,2.90%,$33.30 ,1," 2,287 ", 1.47 ,,,,,,,,,,,,,
TYP,ETF,0.95%,,,$33.20 ,3," 785,597 ", (3.63),,,,,,,,,,,,,
MLPG,ETN,0.85%,$0.46,4.84%,$33.10 ,0.9," 2,643 ", 1.45 ,,,,,,,,,,,,,
HVPW,ETF,0.95%,$0.39,7.50%,$33.00 ,1.3," 19,525 ", 0.60 ,,,,,,,,,,,,,
TDN,ETF,0.65%,$0.52,1.89%,$32.80 ,1.2," 2,010 ", 3.46 ,,,,,,,,,,,,,
USDU,ETF,0.50%,,,$32.70 ,1.3,, -   ,,,,,,,,,,,,,
FNCL,ETF,0.12%,$0.10,0.40%,$32.40 ,1.3,, 1.21 ,,,,,,,,,,,,,
EEMS,ETF,0.66%,$0.74,2.23%,$32.20 ,0.7," 8,288 ", (2.09),,,,,,,,,,,,,
IPFF,ETF,0.55%,$0.03,3.90%,$32.20 ,1.4," 15,094 ", (1.05),,,,,,,,,,,,,
IAH,Grantor Trust,,$0.03,0.87%,$32.00 ,0.6," 4,380 ", 0.93 ,,,,,,,,,,,,,
LVOL,ETF,0.20%,$0.65,2.61%,$32.00 ,0.6," 24,334 ", 0.86 ,,,,,,,,,,,,,
TAO,ETF,0.65%,$0.39,1.95%,$32.00 ,1.6," 18,416 ", (1.75),,,,,,,,,,,,,
TZE,ETF,0.31%,$0.14,2.07%,$31.90 ,0.9," 18,689 ", 0.76 ,,,,,,,,,,,,,
ECNS,ETF,0.60%,$0.66,2.91%,$31.80 ,0.7," 6,517 ", 1.85 ,,,,,,,,,,,,,
SAA,ETF,0.95%,$0.01,0.01%,$31.80 ,0.3," 2,633 ", 2.96 ,,,,,,,,,,,,,
IFAS,ETF,0.48%,$1.09,6.11%,$31.70 ,1," 3,773 ", (1.51),,,,,,,,,,,,,
USD,ETF,0.95%,$0.09,0.60%,$31.50 ,0.6," 5,042 ", 2.83 ,,,,,,,,,,,,,
XSW,ETF,0.35%,$0.18,2.35%,$31.50 ,0.4," 6,152 ", 1.24 ,,,,,,,,,,,,,
PJF,ETF,0.60%,,1.55%,$31.40 ,1.3,, -   ,,,,,,,,,,,,,
PSR,ETF,0.80%,$0.59,2.43%,$31.30 ,0.6," 1,869 ", (1.53),,,,,,,,,,,,,
TZL,ETF,0.31%,$0.14,1.99%,$31.20 ,0.8," 12,980 ", 0.76 ,,,,,,,,,,,,,
UXI,ETF,0.95%,$0.02,0.07%,$31.10 ,0.3," 3,841 ", 2.27 ,,,,,,,,,,,,,
COPX,ETF,0.65%,$0.43,4.69%,$31.00 ,3.4," 26,933 ", (1.74),,,,,,,,,,,,,
IPO,,0.60%,$0.02,0.07%,$30.50 ,1.4,, 1.69 ,,,,,,,,,,,,,
SGG,ETN,0.75%,,,$30.40 ,0.6," 18,030 ", (1.36),,,,,,,,,,,,,
CU,ETF,0.70%,$0.03,2.26%,$30.20 ,1.4," 10,075 ", (1.61),,,,,,,,,,,,,
ICN,ETF,0.45%,$3.28,15.60%,$29.90 ,1.5," 10,992 ", 1.11 ,,,,,,,,,,,,,
CEMB,ETF,0.60%,$0.16,3.49%,$29.70 ,0.6," 6,221 ", (1.27),,,,,,,,,,,,,
RSW,ETF,0.70%,$18.07,,$29.60 ,1.7," 43,257 ", (1.91),,,,,,,,,,,,,
HGI,ETF,0.65%,$0.17,3.89%,$29.50 ,1.6," 158,288 ", 1.19 ,,,,,,,,,,,,,
PLND,ETF,0.60%,$0.75,3.30%,$29.50 ,1.3," 15,470 ", (1.81),,,,,,,,,,,,,
SEF,ETF,0.95%,$3.44,,$29.50 ,1.4," 27,058 ", (1.25),,,,,,,,,,,,,
BNZ,ETF,0.45%,$0.13,,$29.30 ,1.2," 71,686 ", (1.24),,,,,,,,,,,,,
RWW,ETF,0.49%,$0.12,0.91%,$29.30 ,0.7," 6,472 ", 1.39 ,,,,,,,,,,,,,
DBU,ETF,0.58%,$0.24,4.73%,$29.20 ,1.6," 6,634 ", (1.31),,,,,,,,,,,,,
ERW,ETF,0.65%,$0.02,0.05%,$29.20 ,0.6, 259 , 1.26 ,,,,,,,,,,,,,
FCHI,ETF,0.72%,$0.33,2.39%,$29.10 ,0.6," 4,398 ", 2.52 ,,,,,,,,,,,,,
PEK,ETF,0.72%,$0.70,2.30%,$28.90 ,1," 5,359 ", (2.49),,,,,,,,,,,,,
BNO,Commodity Pool,0.94%,,,$28.80 ,0.7," 52,041 ", 1.52 ,,,,,,,,,,,,,
GNMA,ETF,0.32%,$0.04,0.92%,$28.80 ,0.6," 6,129 ", (0.77),,,,,,,,,,,,,
IGHG,ETF,0.30%,$0.20,0.24%,$28.50 ,0.4,, -   ,,,,,,,,,,,,,
UCC,ETF,0.95%,$0.08,0.33%,$28.50 ,0.4," 3,241 ", 2.33 ,,,,,,,,,,,,,
CROC,Commodity Pool,0.95%,,,$28.40 ,0.6," 11,663 ", 1.99 ,,,,,,,,,,,,,
WMW,ETN,0.75%,,,$28.20 ,1.4," 9,881 ", 1.18 ,,,,,,,,,,,,,
FDIS,ETF,0.12%,$0.08,0.28%,$28.10 ,1.1,, 1.18 ,,,,,,,,,,,,,
BXUC,ETN,0.75%,,,$28.00 ,0.1, 158 , 3.86 ,,,,,,,,,,,,,
FNK,ETF,0.70%,$0.07,1.27%,$28.00 ,1," 7,708 ", 1.25 ,,,,,,,,,,,,,
UNL,Commodity Pool,0.75%,,,$28.00 ,1.5," 15,878 ", 1.73 ,,,,,,,,,,,,,
XOVR,ETF,0.30%,$0.09,4.00%,$28.00 ,1.1," 3,489 ", 0.96 ,,,,,,,,,,,,,
ADRA,UIT,0.30%,$0.20,2.01%,$27.90 ,1," 9,479 ", (2.92),,,,,,,,,,,,,
CBND,ETF,0.16%,$0.09,3.55%,$27.90 ,0.9," 3,843 ", (0.72),,,,,,,,,,,,,
GLDX,ETF,0.65%,$0.36,3.25%,$27.90 ,2.5," 43,633 ", (3.82),,,,,,,,,,,,,
MUAA,ETF,0.30%,,0.28%,$27.80 ,0.6," 13,453 ", 0.26 ,,,,,,,,,,,,,
TBAR,ETN,1.00%,,,$27.70 ,1," 14,417 ", (0.08),,,,,,,,,,,,,
TDH,ETF,0.65%,$0.25,0.90%,$27.70 ,1," 1,672 ", 2.45 ,,,,,,,,,,,,,
ILTB,ETF,0.12%,$0.24,5.60%,$27.60 ,0.5," 4,409 ", (1.15),,,,,,,,,,,,,
PFI,ETF,0.60%,$0.09,1.78%,$27.60 ,1," 4,822 ", 1.49 ,,,,,,,,,,,,,
FKU,ETF,0.80%,$0.22,2.78%,$27.40 ,0.7," 3,228 ", 1.45 ,,,,,,,,,,,,,
RETL,ETF,0.95%,$6.01,7.91%,$27.40 ,0.4," 9,202 ", 3.49 ,,,,,,,,,,,,,
FENY,ETF,0.12%,$0.08,0.32%,$27.00 ,1.1,, 1.30 ,,,,,,,,,,,,,
WITE,Grantor Trust,0.60%,,,$27.00 ,0.7," 3,339 ", (2.18),,,,,,,,,,,,,
IFEU,ETF,0.48%,$0.18,3.27%,$26.90 ,0.8," 5,190 ", 1.33 ,,,,,,,,,,,,,
XHE,ETF,0.35%,$0.07,1.18%,$26.60 ,0.4," 1,192 ", 1.01 ,,,,,,,,,,,,,
CEFL,ETN,0.50%,,,$26.50 ,1,, -   ,,,,,,,,,,,,,
HSPX,ETF,0.65%,$0.07,0.77%,$26.50 ,0.6," 7,791 ", 0.81 ,,,,,,,,,,,,,
IQDE,ETF,0.47%,$0.09,1.36%,$26.20 ,1," 10,282 ", (1.16),,,,,,,,,,,,,
MLPC,ETN,0.95%,,,$26.10 ,1," 3,603 ", 1.23 ,,,,,,,,,,,,,
PGHY,ETN,0.35%,$0.08,1.91%,$26.10 ,1.1," 18,617 ", 0.31 ,,,,,,,,,,,,,
CSCB,,0.65%,,,$25.90 ,1.3," 2,437 ", (1.42),,,,,,,,,,,,,
UGLD,ETN,1.35%,,,$25.80 ,2," 144,445 ", (5.65),,,,,,,,,,,,,
IFNA,ETF,0.48%,$0.37,3.32%,$25.70 ,0.6," 4,743 ", (2.27),,,,,,,,,,,,,
GULF,ETF,0.88%,$0.35,2.88%,$25.40 ,1.3," 7,916 ", 1.06 ,,,,,,,,,,,,,
TZO,ETF,0.32%,$0.14,2.01%,$25.40 ,0.6," 8,689 ", 0.83 ,,,,,,,,,,,,,
FLM,ETF,0.70%,$0.19,2.06%,$25.30 ,0.5," 3,350 ", 1.51 ,,,,,,,,,,,,,
IPN,ETF,0.50%,$0.22,3.05%,$25.20 ,0.8," 8,752 ", 1.52 ,,,,,,,,,,,,,
NFRA,ETF,0.47%,,,$25.20 ,0.6,, 1.06 ,,,,,,,,,,,,,
UPV,ETF,0.95%,,,$25.20 ,0.5," 10,705 ", 2.48 ,,,,,,,,,,,,,
SHYG,ETF,0.50%,$0.25,0.50%,$25.10 ,0.5,, 0.20 ,,,,,,,,,,,,,
AUD,ETF,0.45%,$0.25,1.95%,$25.00 ,0.3," 3,008 ", (1.89),,,,,,,,,,,,,
BIZD,ETF,0.40%,$0.33,3.77%,$25.00 ,1.2," 8,831 ", 1.32 ,,,,,,,,,,,,,
VEGA,ETF,2.01%,$0.20,0.79%,$25.00 ,1," 6,203 ", (0.64),,,,,,,,,,,,,
FINU,ETF,0.95%,$0.09,0.07%,$24.80 ,0.2," 1,961 ", 3.52 ,,,,,,,,,,,,,
GTIP,ETF,0.40%,$0.10,1.26%,$24.80 ,0.5," 2,205 ", (0.78),,,,,,,,,,,,,
PEZ,ETF,0.60%,$0.05,1.01%,$24.70 ,0.6," 2,917 ", 1.40 ,,,,,,,,,,,,,
CSCR,,0.85%,,,$24.30 ,1.3," 10,046 ", (1.62),,,,,,,,,,,,,
QQQE,ETF,0.35%,$0.08,0.38%,$24.20 ,0.5," 4,092 ", 1.00 ,,,,,,,,,,,,,
INY,ETF,0.20%,$0.05,3.61%,$24.10 ,1.1," 6,331 ", (0.91),,,,,,,,,,,,,
FAA,ETF,0.65%,$0.31,0.89%,$23.80 ,0.6," 18,455 ", 1.81 ,,,,,,,,,,,,,
MNA,ETF,0.75%,$0.05,0.19%,$23.80 ,0.9," 5,500 ", (0.73),,,,,,,,,,,,,
MYY,ETF,0.95%,$0.17,,$23.70 ,1.3," 44,211 ", (1.18),,,,,,,,,,,,,
GNAT,ETF,0.58%,$0.27,3.31%,$23.60 ,1.1," 6,729 ", (1.27),,,,,,,,,,,,,
KNOW,ETF,0.65%,$0.15,1.04%,$23.50 ,0.4, 726 , 1.06 ,,,,,,,,,,,,,
CPI,ETF,0.48%,$0.02,0.06%,$23.40 ,0.9," 24,689 ", (0.52),,,,,,,,,,,,,
MLPX,ETF,0.45%,$0.09,0.56%,$23.40 ,1.5," 9,891 ", 1.09 ,,,,,,,,,,,,,
RTR,ETF,0.49%,$0.27,2.82%,$23.40 ,0.6," 3,280 ", (1.60),,,,,,,,,,,,,
BAL,ETN,0.75%,,,$23.30 ,0.4," 9,805 ", 1.35 ,,,,,,,,,,,,,
KRU,ETF,0.95%,$0.17,0.72%,$23.30 ,0.3," 4,111 ", 3.76 ,,,,,,,,,,,,,
DOD,ETN,0.75%,,,$23.20 ,1.7," 20,756 ", 1.10 ,,,,,,,,,,,,,
FCOM,,0.12%,$0.06,0.25%,$23.10 ,0.9,, 1.09 ,,,,,,,,,,,,,
CCXE,ETF,0.58%,$0.26,3.74%,$22.70 ,0.8," 2,846 ", (1.66),,,,,,,,,,,,,
DBEM,ETF,0.69%,$0.05,2.02%,$22.40 ,1.1," 8,267 ", (1.86),,,,,,,,,,,,,
XMPT,ETF,1.67%,$0.12,5.58%,$22.30 ,1," 14,341 ", (0.88),,,,,,,,,,,,,
VSPY,ETF,0.45%,$0.19,1.02%,$22.20 ,0.4," 1,314 ", 1.05 ,,,,,,,,,,,,,
AAVX,ETN,1.35%,,,$22.10 ,0.1," 2,592 ", 5.52 ,,,,,,,,,,,,,
BBRC,ETF,0.85%,$0.11,0.53%,$22.10 ,1.1," 12,519 ", (1.27),,,,,,,,,,,,,
SOIL,ETF,0.69%,$0.16,1.42%,$22.10 ,2," 11,402 ", (1.39),,,,,,,,,,,,,
MLPY,ETN,0.85%,$0.35,7.26%,$22.00 ,1.2," 10,327 ", 1.34 ,,,,,,,,,,,,,
PJG,ETF,0.60%,,2.05%,$22.00 ,0.9,, -   ,,,,,,,,,,,,,
BABZ,ETF,0.45%,$0.16,4.70%,$21.80 ,0.5," 4,921 ", (1.46),,,,,,,,,,,,,
IPD,ETF,0.50%,$0.22,2.13%,$21.70 ,0.6," 3,498 ", 1.54 ,,,,,,,,,,,,,
IDHQ,ETF,0.45%,$0.15,2.49%,$21.60 ,1.1," 3,239 ", 1.22 ,,,,,,,,,,,,,
PSCM,ETF,0.29%,$0.09,0.52%,$21.60 ,0.5," 6,380 ", 1.51 ,,,,,,,,,,,,,
CAD,ETF,0.45%,$0.20,1.45%,$21.40 ,0.2," 1,947 ", (1.06),,,,,,,,,,,,,
KOLD,Commodity Pool,0.95%,,,$21.40 ,0.3," 18,030 ", (5.42),,,,,,,,,,,,,
KBWP,ETF,0.35%,$0.37,3.17%,$21.30 ,0.6," 3,552 ", 1.18 ,,,,,,,,,,,,,
XMLV,ETF,0.25%,$0.19,1.63%,$21.30 ,0.8," 5,923 ", 1.01 ,,,,,,,,,,,,,
ACCU,ETF,1.25%,$0.31,1.09%,$21.20 ,0.8," 22,164 ", 1.44 ,,,,,,,,,,,,,
KWT,ETF,0.65%,$0.73,1.04%,$21.20 ,0.3," 10,469 ", (3.55),,,,,,,,,,,,,
FMAT,ETF,0.12%,$0.10,0.38%,$21.10 ,0.8,, 1.24 ,,,,,,,,,,,,,
RUSL,ETF,0.95%,$0.09,0.26%,$21.00 ,0.7," 19,241 ", (5.09),,,,,,,,,,,,,
CHXF,ETF,0.63%,$0.77,2.76%,$20.90 ,0.4," 10,066 ", 2.04 ,,,,,,,,,,,,,
FORX,ETF,0.65%,,,$20.80 ,0.4," 2,995 ", (0.83),,,,,,,,,,,,,
PIQ,ETF,0.60%,$0.08,1.54%,$20.80 ,0.6," 3,909 ", 1.10 ,,,,,,,,,,,,,
PSAU,ETF,0.75%,$0.08,0.56%,$20.80 ,1.2," 32,372 ", (3.19),,,,,,,,,,,,,
DBGR,ETF,1.04%,$0.85,3.30%,$20.70 ,0.8," 10,109 ", 1.15 ,,,,,,,,,,,,,
LBND,ETN,0.95%,,,$20.50 ,0.7," 1,952 ", (4.87),,,,,,,,,,,,,
IBDB,ETF,0.10%,$0.17,0.77%,$20.30 ,0.2," 2,454 ", (0.51),,,,,,,,,,,,,
QLTB,ETF,0.30%,$0.17,3.31%,$20.20 ,0.4," 1,957 ", (1.70),,,,,,,,,,,,,
SCIN,ETF,0.85%,$0.10,0.88%,$20.20 ,1.8," 20,186 ", 2.98 ,,,,,,,,,,,,,
QDYN,ETF,0.37%,$0.25,1.65%,$20.00 ,0.6," 10,061 ", 0.95 ,,,,,,,,,,,,,
LBJ,ETF,0.95%,$0.17,0.82%,$19.90 ,0.9," 14,264 ", (5.75),,,,,,,,,,,,,
PFA,ETF,0.75%,$0.10,0.79%,$19.70 ,1.2," 4,832 ", 1.98 ,,,,,,,,,,,,,
BICK,ETF,0.64%,$0.10,1.85%,$19.60 ,0.8," 2,167 ", 2.10 ,,,,,,,,,,,,,
TMF,ETF,0.95%,$0.08,0.57%,$19.60 ,0.5," 122,711 ", (3.72),,,,,,,,,,,,,
DGRE,ETF,0.63%,$0.06,0.26%,$19.50 ,0.8," 8,390 ", (1.97),,,,,,,,,,,,,
SMN,ETF,0.95%,$26.59,,$19.50 ,0.6," 38,417 ", (2.41),,,,,,,,,,,,,
DGRS,ETF,0.38%,$0.03,0.27%,$19.40 ,0.7," 9,363 ", 1.33 ,,,,,,,,,,,,,
BNPC,Commodity Pool,0.65%,,,$19.20 ,0.7," 3,247 ", (0.95),,,,,,,,,,,,,
ICOL,ETF,0.61%,$0.19,0.75%,$19.20 ,0.8," 3,850 ", (1.95),,,,,,,,,,,,,
