Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
MUB,ETF,0.25%,$0.27,2.99%,"$3,024.10 ",29.1," 258,362 ", (0.33),,,,,,,,,,,,,
IJT,ETF,0.25%,$0.31,0.70%,"$2,967.80 ",25," 187,141 ", 1.39 ,,,,,,,,,,,,,
SCPB,ETF,0.12%,$0.03,1.23%,"$2,936.50 ",95.9," 774,178 ", (0.10),,,,,,,,,,,,,
KRE,ETF,0.35%,$0.16,1.93%,"$2,904.50 ",71.5," 2,580,869 ", 1.81 ,,,,,,,,,,,,,
SHV,ETF,0.15%,$0.00,0.01%,"$2,876.70 ",26.1," 756,309 ", 0.01 ,,,,,,,,,,,,,
SCHB,ETF,0.04%,$0.20,1.64%,"$2,865.00 ",64," 406,991 ", 1.02 ,,,,,,,,,,,,,
PRF,ETF,0.39%,$0.42,2.14%,"$2,787.10 ",33.8," 167,430 ", 1.01 ,,,,,,,,,,,,,
IEI,ETF,0.15%,$0.09,0.75%,"$2,699.60 ",22.5," 695,073 ", (0.26),,,,,,,,,,,,,
GUNR,ETF,0.48%,$0.37,1.08%,"$2,680.40 ",78.4," 250,377 ", (1.09),,,,,,,,,,,,,
AAXJ,ETF,0.67%,$0.53,1.76%,"$2,678.60 ",45.3," 595,375 ", 1.67 ,,,,,,,,,,,,,
IEV,ETF,0.60%,$0.21,2.35%,"$2,632.30 ",55.9," 709,338 ", 1.20 ,,,,,,,,,,,,,
VPL,ETF,0.12%,$0.20,2.82%,"$2,622.50 ",43.4," 405,036 ", (1.19),,,,,,,,,,,,,
VDE,ETF,0.14%,$2.19,3.32%,"$2,546.90 ",20.2," 109,109 ", 1.23 ,,,,,,,,,,,,,
KBE,ETF,0.35%,$0.11,2.00%,"$2,525.50 ",76.3," 1,022,845 ", 1.55 ,,,,,,,,,,,,,
PKW,ETF,0.60%,$0.10,1.07%,"$2,478.50 ",58," 646,431 ", 1.13 ,,,,,,,,,,,,,
EFV,ETF,0.40%,$0.71,3.22%,"$2,421.60 ",42.8," 160,483 ", 1.10 ,,,,,,,,,,,,,
USMV,ETF,0.15%,$0.21,2.19%,"$2,406.70 ",68.1," 363,302 ", 0.90 ,,,,,,,,,,,,,
EEMV,ETF,0.25%,$0.83,2.54%,"$2,395.30 ",41.6," 519,192 ", (1.32),,,,,,,,,,,,,
VHT,ETF,0.14%,$1.14,2.31%,"$2,372.90 ",23.5," 150,373 ", 1.22 ,,,,,,,,,,,,,
ICF,ETF,0.35%,$0.74,3.40%,"$2,348.10 ",31.4," 282,970 ", (1.37),,,,,,,,,,,,,
SCHX,ETF,0.04%,$0.21,1.66%,"$2,309.10 ",52.6," 345,647 ", 1.00 ,,,,,,,,,,,,,
VXUS,ETF,0.16%,$0.23,3.09%,"$2,301.40 ",44.7," 232,398 ", 1.14 ,,,,,,,,,,,,,
IGE,ETF,0.48%,$0.20,1.51%,"$2,219.90 ",51.4," 271,881 ", 1.21 ,,,,,,,,,,,,,
VOE,ETF,0.10%,$1.21,1.54%,"$2,218.50 ",28," 122,741 ", 1.05 ,,,,,,,,,,,,,
TLT,ETF,0.15%,$0.31,3.19%,"$2,166.80 ",21.3," 7,492,525 ", (1.28),,,,,,,,,,,,,
SHM,ETF,0.20%,$0.02,1.09%,"$2,089.50 ",86.2," 558,838 ", 0.10 ,,,,,,,,,,,,,
RWR,ETF,0.25%,$0.75,4.28%,"$2,078.80 ",29.1," 263,256 ", (1.37),,,,,,,,,,,,,
BWX,ETF,0.50%,$0.10,1.95%,"$2,030.80 ",35.3," 219,545 ", (0.59),,,,,,,,,,,,,
TDTT,ETF,0.20%,$0.05,0.19%,"$1,998.00 ",80.3," 216,361 ", (0.16),,,,,,,,,,,,,
